Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2263342,-,-,-,33.5,-102.01,0,1009,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Cloud Type,GHI,Dew Point,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2020,1,1,0,0,3.2,0,0,0,-5.7,52.120000000000005,92.66,0.7000000000000001,1.7000000000000002,197
2020,1,1,1,0,2.6,0,0,0,-5.7,54.18,104.23,0.7000000000000001,1.9000000000000001,197
2020,1,1,2,0,2.1,0,0,0,-5.6000000000000005,56.95,116.31,0.7000000000000001,2,199
2020,1,1,3,0,1.7000000000000002,0,0,0,-5.2,60.34,128.69,0.7000000000000001,2.3000000000000003,205
2020,1,1,4,0,1.5,0,0,0,-4.7,63.56,141.18,0.7000000000000001,2.6,212
2020,1,1,5,0,1.2000000000000002,0,0,0,-4.2,67.4,153.48,0.7000000000000001,2.8000000000000003,219
2020,1,1,6,0,1,0,0,0,-3.7,70.76,164.64000000000001,0.8,3.2,222
2020,1,1,7,0,0.8,0,0,0,-3.3000000000000003,74.04,169.36,0.7000000000000001,3.7,226
2020,1,1,8,0,0.30000000000000004,0,0,0,-3,78.57000000000001,161.65,0.7000000000000001,3.9000000000000004,230
2020,1,1,9,0,-0.2,0,0,0,-2.8000000000000003,82.58,149.94,0.7000000000000001,3.9000000000000004,233
2020,1,1,10,0,-0.8,0,0,0,-2.7,86.87,137.53,0.7000000000000001,3.7,236
2020,1,1,11,0,-1.2000000000000002,0,0,0,-2.8000000000000003,89.18,125.05,0.7000000000000001,3.7,239
2020,1,1,12,0,-1.5,0,0,0,-3.1,88.81,112.73,0.7000000000000001,3.8000000000000003,241
